,rank,region,gdp
1,1.0,Nenets Autonomous Okrug,110320
2,2.0,Yamalo-Nenets Autonomous Okrug,90640
3,3.0,Khanty-Mansi Autonomous Okrug,42540
4,4.0,Sakhalin Oblast,38220
5,5.0,Chukotka,25060
6,6.0,Moscow,22060
7,7.0,Magadan Oblast,19000
8,8.0,Yakutia,17830
9,9.0,Tyumen Oblast,13250
10,10.0,Komi Republic,12650
11,11.0,Krasnoyarsk Krai,12590
12,12.0,St. Petersburg,12400
13,13.0,Kamchatka Krai,11910
14,14.0,Murmansk Oblast,10200
15,15.0,Tatarstan,10060
16,16.0,Leningrad Oblast,9570
17,17.0,Irkutsk Oblast,9210
18,18.0,Belgorod Oblast,8880
19,19.0,Moscow Oblast,8830
20,20.0,Astrakhan Oblast,8650
21,21.0,Tomsk Oblast,8530
22,22.0,Khabarovsk Krai,8510
23,23.0,Sverdlovsk Oblast,8370
24,24.0,Orenburg Oblast,8060
25,25.0,Lipetsk Oblast,8030
26,26.0,Perm Krai,8000
27,27.0,Vologda Oblast,7890
28,28.0,Samara Oblast,7520
29,29.0,Arkhangelsk Oblast,7380
30,30.0,Kemerovo Oblast,7340
31,31.0,Kaliningrad Oblast,7330
32,32.0,Kaluga Oblast,7320
33,33.0,Republic of Karelia,7170
34,34.0,Novosibirsk Oblast,7120
35,35.0,Yaroslavl Oblast,7050
36,36.0,Khakassia,6960
37,37.0,Primorsky Krai,6940
38,38.0,Novgorod Oblast,6890
39,39.0,Tula Oblast,6800
40,40.0,Nizhny Novgorod Oblast,6730
41,41.0,Chelyabinsk Oblast,6710
42,42.0,Udmurtia,6630
43,43.0,Krasnodar Krai,6620
44,44.0,Bashkortostan,6650
45,45.0,Voronezh Oblast,6430
46,46.0,Kursk Oblast,6120
47,47.0,Amur Oblast,6000
48,48.0,Omsk Oblast,5540
49,49.0,Jewish Autonomous Oblast,5500
50,50.0,Tver Oblast,5490
51,51.0,Rostov Oblast,5450
52,52.0,Ryazan Oblast,5440
53,53.0,Volgograd Oblast,5380
54,54.0,Smolensk Oblast,5250
55,55.0,Tambov Oblast,5140
56,56.0,Vladimir Oblast,5100
57,57.0,Oryol Oblast,4930
58,58.0,Zabaykalsky Krai,4850
59,59.0,Penza Oblast,4800
60,60.0,Saratov Oblast,4610
61,61.0,Mordovia,4510
62,62.0,Kostroma Oblast,4470
63,63.0,Ulyanovsk Oblast,4440
64,64.0,Republic of Kalmykia,4270
65,65.0,Mari El,4140
66,66.0,Kirov Oblast,4130
67,67.0,Pskov Oblast,4120
68,68.0,Stavropol Krai,4060
69,69.0,Kurgan Oblast,4030
70,70.0,Chuvashia,3850
71,71.0,Adygea,3790
72,72.0,Altai Krai,3730
73,73.0,Altai Republic,3670
74,74.0,Buryatia,3650
75,75.0,Tuva,3380
76,77.0,Dagestan,3230
77,78.0,Ivanovo Oblast,3110
78,79.0,North Ossetia,2950
79,80.0,Kabardino-Balkaria,2670
80,81.0,Karachay-Cherkessia,2630
81,82.0,Chechnya,2120
82,83.0,Ingushetia,1790
5,5.0,St.Petersburg,25277
68,68.0,Bryansk Oblast,9345
